sige,time,eps,Tabs
20.65345,17.37920139,0.09459077,318.15
20.67103,17.40003472,0.09463341,318.15
20.66697,17.4208912,0.09468497,318.15
20.64516,17.44174769,0.09473253,318.15
20.6747,17.46260417,0.09477157,318.15
20.68552,17.48344907,0.09482386,318.15
20.64708,17.50430556,0.09487077,318.15
20.65622,17.52515046,0.09491794,318.15
20.66731,17.54601852,0.09495771,318.15
20.64786,17.566875,0.09500718,318.15
20.65339,17.62939815,0.09505456,318.15
20.65296,17.65025463,0.09510365,318.15
20.67057,17.67112269,0.09514322,318.15
20.68746,17.69197917,0.09519081,318.15
20.65263,17.71283565,0.09523518,318.15
20.65812,17.73368056,0.09528663,318.15
20.67327,17.75453704,0.09532983,318.15
20.65542,17.77539352,0.09537525,318.15
20.64581,17.79625,0.09542239,318.15
20.64845,17.81708333,0.09546676,318.15
20.65637,17.83793981,0.09551554,318.15
20.64585,17.85878472,0.09556327,318.15
20.68478,17.87961806,0.09560739,318.15
20.65658,17.90048611,0.09564863,318.15
20.66572,17.92133102,0.09569525,318.15
20.68561,17.94217593,0.09574036,318.15
20.65664,17.96300926,0.09578896,318.15
20.65335,17.98387731,0.09583276,318.15
20.65767,18.00472222,0.09588412,318.15
20.65151,18.02556713,0.09592196,318.15
20.66317,18.04642361,0.0959634,318.15
20.66756,18.06728009,0.09600879,318.15
20.65769,18.08811343,0.09605641,318.15
20.64485,18.10895833,0.09610154,318.15
20.67728,18.12981481,0.09614299,318.15
20.64894,18.1506713,0.09619135,318.15
20.68424,18.17150463,0.09623819,318.15
20.65898,18.19236111,0.09628005,318.15
20.65859,18.21321759,0.09632742,318.15
20.66294,18.2340625,0.09637643,318.15
20.6597,18.25493056,0.09641842,318.15
20.66233,18.27578704,0.09646337,318.15
20.6822,18.29663194,0.09650925,318.15
20.66882,18.31748843,0.09655229,318.15
20.65011,18.33832176,0.09659573,318.15
20.68242,18.35917824,0.09664135,318.15
20.64158,18.38002315,0.09669229,318.15
20.65076,18.40087963,0.096736,318.15
20.66762,18.42173611,0.09678235,318.15
20.64398,18.44258102,0.09683474,318.15
20.64431,18.46344907,0.09687602,318.15
20.64925,18.48430556,0.09692428,318.15
20.6756,18.50516204,0.09697109,318.15
20.65031,18.52603009,0.09701712,318.15
20.66545,18.54686343,0.0970596,318.15
20.67924,18.56770833,0.09711017,318.15
20.66651,18.58855324,0.09715126,318.15
20.6649,18.60940972,0.09720085,318.15
20.64924,18.63027778,0.09723899,318.15
20.64529,18.65113426,0.09728838,318.15
20.66508,18.67200231,0.0973366,318.15
20.6553,18.69284722,0.09737895,318.15
20.6519,18.71371528,0.09742691,318.15
20.66231,18.73457176,0.0974694,318.15
20.66257,18.75542824,0.09751433,318.15
20.65756,18.77627315,0.09755637,318.15
20.64463,18.79711806,0.09760702,318.15
20.70144,18.81798611,0.09764472,318.15
20.66128,18.83881944,0.09769203,318.15
20.66025,18.85967593,0.09774204,318.15
20.64455,18.88053241,0.09778369,318.15
20.65483,18.90137731,0.09783278,318.15
20.65462,18.92222222,0.09787068,318.15
20.66017,18.9430787,0.0979182,318.15
20.66472,18.96393519,0.09795657,318.15
20.64891,18.98478009,0.09800357,318.15
20.65751,19.00563657,0.09804694,318.15
20.64657,19.02649306,0.098089,318.15
20.65278,19.04734954,0.09813271,318.15
20.64893,19.06820602,0.09817503,318.15
20.64391,19.0890625,0.09821723,318.15
20.64299,19.10993056,0.09826246,318.15
20.64271,19.13076389,0.09830341,318.15
20.68448,19.15163194,0.09834943,318.15
20.64393,19.17248843,0.0983886,318.15
20.64356,19.19333333,0.09843548,318.15
20.64918,19.21418981,0.09847888,318.15
20.64417,19.23503472,0.09852154,318.15
20.65273,19.2558912,0.09856547,318.15
20.6553,19.27674769,0.09861296,318.15
20.64143,19.29759259,0.09865332,318.15
20.64396,19.31842593,0.09870265,318.15
20.68281,19.33928241,0.09874514,318.15
20.64819,19.36015046,0.0987867,318.15
20.67752,19.3809838,0.09882886,318.15
20.64582,19.40181713,0.0988716,318.15
20.65137,19.42267361,0.0989179,318.15
20.66053,19.44351852,0.0989623,318.15
20.65551,19.46436343,0.099005,318.15
20.65816,19.48519676,0.0990495,318.15
20.65484,19.50606481,0.0990941,318.15
20.65275,19.52689815,0.0991392,318.15
20.64649,19.54774306,0.0991826,318.15
20.66638,19.56859954,0.0992249,318.15
20.65065,19.58946759,0.099269,318.15
20.64089,19.61032407,0.0993103,318.15
20.6791,19.63118056,0.0993536,318.15
20.65094,19.65203704,0.0993986,318.15
20.65062,19.67289352,0.0994413,318.15
20.67036,19.69372685,0.0994902,318.15
20.65468,19.71458333,0.0995321,318.15
20.64486,19.73543981,0.0995774,318.15
20.65881,19.75627315,0.0996192,318.15
20.64908,19.77712963,0.0996598,318.15
20.63923,19.79799769,0.0997063,318.15
20.64665,19.81886574,0.0997494,318.15
20.64341,19.83972222,0.0997916,318.15
20.65197,19.86056713,0.0998345,318.15
20.64757,19.88143519,0.0998765,318.15
20.65021,19.90228009,0.0999192,318.15
20.67597,19.92313657,0.099964,318.15
20.65969,19.94400463,0.1000066,318.15
20.64098,19.96486111,0.1000521,318.15
20.64367,19.98571759,0.1000942,318.15
20.67175,20.00657407,0.100141,318.15
20.64953,20.02744213,0.100183,318.15
20.65823,20.04828704,0.1002204,318.15
20.649,20.06913194,0.100265,318.15
20.64811,20.08997685,0.100308,318.15
20.64787,20.11084491,0.1003489,318.15
20.64348,20.13170139,0.1003899,318.15
20.67577,20.15255787,0.100432,318.15
20.64709,20.17341435,0.1004736,318.15
20.64679,20.19427083,0.1005159,318.15
20.6495,20.21510417,0.1005568,318.15
20.651,20.23596065,0.1005977,318.15
20.64779,20.25681713,0.1006399,318.15
20.64928,20.27767361,0.100682,318.15
20.64308,20.29853009,0.1007247,318.15
20.64749,20.31936343,0.1007692,318.15
20.65311,20.34023148,0.100812,318.15
20.64344,20.36107639,0.1008509,318.15
20.6479,20.38194444,0.1008917,318.15
20.64473,20.40277778,0.1009315,318.15
20.66455,20.42361111,0.1009751,318.15
20.65181,20.44445602,0.1010176,318.15
20.64571,20.4653125,0.1010556,318.15
20.659,20.48618056,0.1010995,318.15
20.65228,20.50701389,0.1011389,318.15
20.65195,20.52784722,0.1011836,318.15
20.65052,20.5487037,0.1012244,318.15
20.65318,20.56957176,0.101266,318.15
20.6671,20.59042824,0.1013079,318.15
